date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:19	44015/44015	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/index.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/index.html	(from )
12:34:20	14/14	---M--	404	error ('Not%20Found')	text/plain	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/robots.txt		(from )
12:34:22	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ark/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://fazar.bitbucket.io/index.html)
12:34:23	51284/51284	---MCZ	200	added ('OK')	text/css	date:Mon,%2019%20Jun%202017%2019:45:28%20GMT	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/ark/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:01	10878/10878	---MCZ	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/chartist.min.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/chartist.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:01	105356/105356	---MCZ	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/bootstrap.min.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/bootstrap.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:02	138136/138136	---MCZ	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/ncms.min.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/ncms.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:03	767/767	---M--	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/pace.min.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/pace.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:03	3448/3448	---MCZ	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/site.min.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/site.min.css	(from https://fazar.bitbucket.io/index.html)
12:37:04	24270/24270	---MCZ	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/icomoon.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/icomoon.css	(from https://fazar.bitbucket.io/index.html)
12:37:04	180/180	---M--	200	added ('OK')	text/css	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/styles/lib/jquery.scrollUp.css	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/styles/lib/jquery.scrollUp.css	(from https://fazar.bitbucket.io/index.html)
12:37:04	702/702	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/primary-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/primary-logo.png	(from https://fazar.bitbucket.io/index.html)
12:37:05	793/793	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/danger-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/danger-logo.png	(from https://fazar.bitbucket.io/index.html)
12:37:05	776/776	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/success-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/success-logo.png	(from https://fazar.bitbucket.io/index.html)
12:37:06	767/767	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/warning-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/warning-logo.png	(from https://fazar.bitbucket.io/index.html)
12:37:06	771/771	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/info-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/info-logo.png	(from https://fazar.bitbucket.io/index.html)
12:37:06	751/751	---M--	200	added ('OK')	image/png	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/purple-logo.png	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/purple-logo.png	(from https://fazar.bitbucket.io/index.html)
